Regiao,Bairro
Barreiro,Conjunto Ademar Maldonado
Barreiro,Araguaia
Barreiro,Vila Alta Tensão
Barreiro,Conjunto Átila de Paiva
Barreiro,Bairro das Indústrias I
Barreiro,Barreiro
Barreiro,Vila Bernadete
Barreiro,Conjunto Boa Esperança
Barreiro,Bonsucesso
Barreiro,Conjunto Bonsucesso
Barreiro,Brasil Industrial
Barreiro,Cardoso
Barreiro,Vila Castanheiras
Barreiro,Vila Cemig
Barreiro,Vila Copasa
Barreiro,Cristo Redentor
Barreiro,Diamante
Barreiro,Conjunto Esperança
Barreiro,Flávio Marques Lisboa
Barreiro,Conjunto Flávio de Oliveira
Barreiro,Vila Formosa
Barreiro,Independência
Barreiro,Itaipu
Barreiro,Vila Jardim do Vale
Barreiro,Jatobá
Barreiro,Jatobá IV
Barreiro,Lindéia
Barreiro,Regina
Barreiro,Mangueiras
Barreiro,Vila Marieta
Barreiro,Marilândia
Barreiro,Milionários
Barreiro,Mineirão
Barreiro,Miramar
Barreiro,Novo das Indústrias
Barreiro,Novo Santa Cecília
Barreiro,Olaria
Barreiro,Olhos d'Água
Barreiro,Petrópolis
Barreiro,Vila Petrópolis
Barreiro,Pilar
Barreiro,Vila Piratininga
Barreiro,Conjunto Pongelupe
Barreiro,Conjunto Renato Ernesto do Nascimento
Barreiro,Santa Cecília
Barreiro,Santa Helena
Barreiro,Santa Margarida
Barreiro,Santa Rita
Barreiro,Vila Santa Rita
Barreiro,Serra do José Vieira
Barreiro,Sol Nascente
Barreiro,Solar
Barreiro,Solar do Barreiro
Barreiro,Teixeira Dias
Barreiro,Tirol
Barreiro,Conjunto Túnel de Ibirité
Barreiro,Urucuia
Barreiro,Vale do Jatobá
Barreiro,Vila Nova dos Milionários
Barreiro,Vila Pinho
Barreiro,Washington Pires
CentroSul,Anchieta
CentroSul,Antiga Cidade da Serra
CentroSul,Barro Preto
CentroSul,Boa Viagem
CentroSul,Carmo
CentroSul,Centro
CentroSul,Cidade Jardim
CentroSul,Conjunto Santa Maria
CentroSul,Coração de Jesus
CentroSul,Cruzeiro
CentroSul,Funcionários
CentroSul,Lourdes
CentroSul,Luxemburgo
CentroSul,Mangabeiras
CentroSul,Monte de São José
CentroSul,Morro do Papagaio
CentroSul,Nossa Senhora da Conceição
CentroSul,Novo Anchieta
CentroSul,Novo São Lucas
CentroSul,Novo Sion
CentroSul,Santa Efigênia
CentroSul,Santa Isabel
CentroSul,Santa Lúcia
CentroSul,Santo Agostinho
CentroSul,Santo Antônio
CentroSul,São Bento
CentroSul,São Lucas
CentroSul,São Pedro
CentroSul,Savassi
CentroSul,Serra
CentroSul,Sion
CentroSul,Soberana
CentroSul,Vila Acaba Mundo
CentroSul,Vila Aparecida
CentroSul,Vila Ápia
CentroSul,Vila Cafezal
CentroSul,Vila Estrela
CentroSul,Vila Marçola
CentroSul,Vila Morro do Querosene
CentroSul,Vila Nossa Senhora de Fátima
CentroSul,Vila Papagaio
CentroSul,Vila Paris
CentroSul,Vila Pindura Saia
CentroSul,Vila Santa Lúcia
CentroSul,Vila Santa Maria
CentroSul,Vila Santana do Cafezal
Leste,Abadia
Leste,Alto da Boa Vista
Leste,Alto Vera Cruz
Leste,Américo Wernek (antigo Colônia/Floresta)
Leste,Ana Lúcia
Leste,Bairro da Graça
Leste,Baleia
Leste,Belém
Leste,Bias Fortes (antigo Colônia/Santa Ifigênia)
Leste,Boa Vista
Leste,Buraco Quente
Leste,Caetano Furquim
Leste,Cafezal
Leste,Camponesa
Leste,Casa Branca
Leste,Castanheira
Leste,Cidade Jardim Taquaril
Leste,Cônego Pinheiro
Leste,Conselheiro Rocha
Leste,Cruzeiro do Sul
Leste,Edgard Wernek
Leste,Esplanada
Leste,Esplanada I
Leste,Esplanada II-A
Leste,Esplanada II-B
Leste,Floresta
Leste,Freitas
Leste,Granja de Freitas
Leste,Horto
Leste,Horto Florestal
Leste,Instituto Agronômico
Leste,João Alfredo
Leste,Jonas Veiga
Leste,Mariano de Abreu
Leste,Nova Vista
Leste,Novo Horizonte
Leste,Novo São Lucas
Leste,Paraíso I
Leste,Paraíso II
Leste,Parque Cidade Jardim
Leste,Cruzeiro do Sul
Leste,Parque Nossa Senhora do Rosário
Leste,Pirineus
Leste,Política
Leste,Pompeia
Leste,Santa Efigênia
Leste,Sagrada Família
Leste,Santa Inês
Leste,Santa Tereza
Leste,Santana do Cafezal
Leste,Santos Torres
Leste,São Geraldo
Leste,São Rafael
Leste,São Vicente
Leste,Saudade
Leste,"Serra (8ª seção suburbana, Belo Horizonte)"
Leste,Taquaril
Leste,Teresa Cristina A
Leste,Vera Cruz
Leste,Vila Área
Leste,Vila Grota
Leste,Vila Nossa Senhora Aparecida
Leste,Vila Nossa Senhora do Rosário
Leste,Vila Rock in Rio
Nordeste,Bairro da Graça
Nordeste,Beija-Flor
Nordeste,Beira Linha 
Nordeste,Belmonte
Nordeste,Cachoeirinha
Nordeste,Capitão Eduardo
Nordeste,Cidade Nova
Nordeste,Colégio Batista
Nordeste,Concórdia
Nordeste,Conjunto Habitacional Capitão Eduardo
Nordeste,Conjunto Habitacional Dom Silvério
Nordeste,Conjunto Habitacional Fernão Dias
Nordeste,Conjunto Habitacional Goiânia
Nordeste,Conjunto Habitacional Paulo VI (parte)
Nordeste,Conjunto Habitacional São Gabriel
Nordeste,Dom Joaquim
Nordeste,Dom Silvério
Nordeste,Eymard
Nordeste,Fernão Dias
Nordeste,Goiânia
Nordeste,Ipê
Nordeste,Ipiranga
Nordeste,Jardim Vitória
Nordeste,Lagoinha (parte)
Nordeste,Maria Goretti
Nordeste,Maria Virgínia
Nordeste,Nazaré
Nordeste,Nova Floresta
Nordeste,Novo Aarão Reis (parte)
Nordeste,Ouro Minas
Nordeste,Palmares
Nordeste,Parque Riachuelo
Nordeste,Paulo VI (parte)
Nordeste,Pirajá
Nordeste,Pousada Santo Antônio
Nordeste,Renascença
Nordeste,Santa Cruz
Nordeste,São Cristóvão (parte)
Nordeste,São Gabriel
Nordeste,São José/Gorduras
Nordeste,São Marcos
Nordeste,São Paulo
Nordeste,Silveira
Nordeste,União
Nordeste,Vila Antônio Ribeiro de Abreu
Nordeste,Vila Artur de Sá
Nordeste,Vila Beija-flor 
Nordeste,Vila Boa União (parte)
Nordeste,Vila Brasília 
Nordeste,Vila Carioca
Nordeste,Vila Coqueiro 
Nordeste,Vila Corococó
Nordeste,Vila da Paz
Nordeste,Vila do Pombal
Nordeste,Vila Humaitá 
Nordeste,Vila Ipiranga
Nordeste,Vila Maria
Nordeste,Vila Matadouro
Nordeste,Vila Nova Cachoeirinha IV
Nordeste,Vila Nova Cachoeirinha III
Nordeste,Vila Presidente Vargas
Nordeste,Vila São Paulo 
Nordeste,Vila Tiradentes
Nordeste,Vila Três Marias
Nordeste,Vila Universitário
Nordeste,Vila Vista do Sol
